time,DAM_price,temp,wind_speed,wind_speed_unit,humidity_relative,cloudiness,sun_duration_24hours,temp_heterogeneity_category,phase1_avg_money,phase1_mean,phase2_avg_money,phase2_mean,avg_t_out_on_18h,avg_t_out_on_36h,avg_dam_on_18h,avg_dam_on_36h
2023-11-01 17:00:00,0.0634000015258789,11.8,6.471,1.0,81.5,,85.0,ab9,0.052277522181402844,0.20365805467012965,0.04304946117386041,0.18940879935571822,11.488888888888887,10.55,0.04070722250143686,0.05139833331770365
2023-11-01 18:00:00,0.0804599990844727,11.2,4.593,1.0,89.5,,85.0,ab9,0.04651942554936174,0.20365805467012965,0.038771302547171156,0.18940879935571822,11.488888888888889,10.461111111111112,0.040651111271646286,0.05029277773035896
2023-11-01 19:00:00,0.0718000030517578,10.1,5.435,1.0,84.7,,85.0,ab9,0.04385817549772002,0.20365805467012965,0.03817471601956268,0.18940879935571822,11.533333333333335,10.388888888888891,0.03963333351082271,0.04977277780241435
2023-11-01 20:00:00,0.0574799995422363,9.8,3.939,1.0,85.4,,85.0,ab9,0.043126589179638825,0.20365805467012965,0.03979247435710008,0.18940879935571822,11.605555555555556,10.336111111111112,0.03908277775181663,0.05029194432497023
2023-11-01 21:00:00,0.0401500015258789,10.0,4.778,1.0,89.0,,85.0,ab9,0.044822430893441394,0.20365805467012965,0.04396447342217235,0.18940879935571822,11.71111111111111,10.294444444444446,0.040193889074855375,0.05133777759472528
2023-11-01 22:00:00,0.0407700004577637,10.2,3.917,1.0,90.9,,85.0,ab9,0.04769510514825509,0.20365805467012965,0.047725604783053904,0.18940879935571822,11.772222222222222,10.261111111111113,0.0430411112970776,0.05271111078394783
2023-11-01 23:00:00,0.023,10.7,5.196,1.0,88.8,,85.0,ab9,0.051632135508478,0.20365805467012965,0.054044024452902566,0.18940879935571822,11.822222222222223,10.252777777777778,0.046303889049424056,0.05388138859139547
2023-11-02 00:00:00,0.0194899997711182,11.2,5.385,1.0,85.5,,131.0,ab9,0.056742696205789964,0.20365805467012965,0.060356283341140814,0.18940879935571822,11.827777777777778,10.247222222222222,0.050783889015515636,0.05526388849814731
2023-11-02 01:00:00,0.0075599999427795,10.9,5.35,1.0,90.0,,131.0,ab9,0.06569050303618393,0.20365805467012965,0.06500287752934909,0.18940879935571822,11.755555555555555,10.23611111111111,0.05620222217506832,0.056448332978619446
2023-11-02 02:00:00,0.0045700001716614,11.3,7.552,1.0,80.5,,131.0,ab9,0.07473494701298872,0.20365805467012965,0.06928193193774713,0.18940879935571822,11.661111111111111,10.258333333333333,0.061156666504012205,0.05793666629658803
